id_other_stats,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
137,21800532,0,1610612762,UTA,Utah,70,21,6,46,0,2,0,17,4,21,1610612752,NYK,New York,26,8,13,0,0,15,4,14
138,21800533,0,1610612743,DEN,Denver,46,11,10,25,0,0,0,21,8,30,1610612756,PHX,Phoenix,72,20,28,0,0,13,2,13
139,21800531,0,1610612763,MEM,Memphis,52,17,12,19,16,6,1,17,9,27,1610612738,BOS,Boston,36,8,18,9,0,17,6,19
140,21800537,0,1610612748,MIA,Miami,58,24,8,2,2,7,1,20,15,24,1610612750,MIN,Minnesota,50,12,10,13,1,11,6,12
141,21800546,0,1610612750,MIN,Minnesota,58,14,19,7,8,11,0,7,6,7,1610612740,NOP,New Orleans,50,11,24,15,0,15,9,20
142,21800545,0,1610612738,BOS,Boston,48,12,21,12,2,3,0,12,10,9,1610612759,SAS,San Antonio,48,6,14,15,0,11,6,12
143,21800547,0,1610612760,OKC,Oklahoma City,56,23,26,22,0,0,0,10,13,5,1610612742,DAL,Dallas,28,5,12,0,3,29,11,36
144,21800551,0,1610612743,DEN,Denver,52,17,5,9,11,9,1,9,15,9,1610612752,NYK,New York,50,11,7,10,1,9,4,9
145,21800562,0,1610612747,LAL,Los Angeles,54,6,27,6,8,11,0,17,10,16,1610612760,OKC,Oklahoma City,54,12,18,12,0,11,13,10
146,21800558,0,1610612738,BOS,Boston,52,7,23,22,0,1,0,16,7,14,1610612750,MIN,Minnesota,50,14,10,0,1,15,9,16
147,21800564,0,1610612758,SAC,Sacramento,52,6,19,15,8,8,0,8,6,10,1610612743,DEN,Denver,48,23,7,10,0,14,14,17
148,21800574,0,1610612747,LAL,Los Angeles,60,9,20,6,10,7,1,17,7,19,1610612752,NYK,New York,46,19,38,17,0,6,11,10
149,21800575,0,1610612760,OKC,Oklahoma City,46,12,18,10,16,6,1,11,8,10,1610612757,POR,Portland,54,10,8,11,0,12,7,15
150,21800571,0,1610612753,ORL,Orlando,50,9,14,19,3,4,0,11,7,15,1610612750,MIN,Minnesota,62,13,14,21,0,11,9,18
151,21800566,0,1610612738,BOS,Boston,36,11,16,23,0,0,1,13,5,9,1610612742,DAL,Dallas,44,14,14,0,0,14,8,13
152,21800588,0,1610612760,OKC,Oklahoma City,50,14,12,11,5,5,1,15,11,11,1610612764,WAS,Washington,56,22,8,23,0,9,11,13
153,21800585,0,1610612747,LAL,Los Angeles,42,12,10,1,1,0,0,21,15,23,1610612750,MIN,Minnesota,52,8,21,28,0,14,7,12
154,21800597,0,1610612752,NYK,New York,46,12,28,6,4,7,0,11,5,16,1610612757,POR,Portland,46,20,8,18,1,15,8,19
155,21800593,0,1610612745,HOU,Houston,32,7,10,18,9,11,0,15,12,19,1610612743,DEN,Denver,58,15,23,5,0,14,5,16
156,21800592,0,1610612751,BKN,Brooklyn,38,6,8,8,3,2,2,25,3,30,1610612738,BOS,Boston,56,4,24,24,1,14,4,8
157,21800603,0,1610612750,MIN,Minnesota,38,22,7,13,18,13,0,10,12,8,1610612760,OKC,Oklahoma City,54,15,11,6,0,16,12,17
158,21800605,0,1610612744,GSW,Golden State,52,22,33,33,11,3,1,16,7,18,1610612752,NYK,New York,50,14,21,3,1,17,9,22
159,21800601,0,1610612748,MIA,Miami,56,11,8,6,20,12,0,6,7,9,1610612743,DEN,Denver,52,23,7,9,0,16,11,14
160,21800607,0,1610612754,IND,Indiana,40,15,10,0,0,2,0,11,14,20,1610612738,BOS,Boston,56,12,33,31,1,14,4,16
161,21800618,0,1610612743,DEN,Denver,66,21,8,22,3,2,0,9,6,6,1610612746,LAC,LA,50,15,16,2,0,12,12,15
162,21800619,0,1610612760,OKC,Oklahoma City,64,22,25,8,5,8,0,13,10,20,1610612759,SAS,San Antonio,52,11,20,16,0,17,8,21
163,21800617,0,1610612748,MIA,Miami,46,14,16,26,5,3,1,9,8,10,1610612738,BOS,Boston,30,12,15,4,1,11,12,18
164,21800623,0,1610612754,IND,Indiana,58,18,17,21,6,1,0,14,3,23,1610612752,NYK,New York,48,19,11,1,1,17,9,23
165,21800632,0,1610612753,ORL,Orlando,36,13,9,9,3,2,0,15,5,20,1610612738,BOS,Boston,40,17,18,12,0,8,10,8
166,21800634,0,1610612759,SAS,San Antonio,52,12,7,13,4,4,0,14,6,21,1610612760,OKC,Oklahoma City,52,12,27,18,0,7,7,10
167,21800635,0,1610612743,DEN,Denver,36,9,21,1,6,2,2,17,15,26,1610612756,PHX,Phoenix,52,14,17,18,0,9,8,9
168,21800643,0,1610612743,DEN,Denver,56,8,4,10,19,14,1,12,8,10,1610612757,POR,Portland,42,16,3,9,0,9,6,15
169,21800638,0,1610612752,NYK,New York,46,5,16,0,0,1,0,10,9,10,1610612755,PHI,Philadelphia,56,23,10,24,1,17,14,14
170,21800645,0,1610612738,BOS,Boston,46,17,4,5,8,6,2,12,10,18,1610612751,BKN,Brooklyn,44,28,7,27,0,17,6,9
171,21800652,0,1610612755,PHI,Philadelphia,54,20,28,42,1,3,0,15,5,17,1610612750,MIN,Minnesota,46,9,12,2,0,11,8,16
172,21800655,0,1610612743,DEN,Denver,48,10,6,0,0,0,0,8,4,13,1610612744,GSW,Golden State,46,13,9,38,0,10,4,10
173,21800653,0,1610612737,ATL,Atlanta,68,18,10,16,11,16,1,19,5,18,1610612760,OKC,Oklahoma City,54,16,40,4,0,12,10,13
174,21800658,0,1610612761,TOR,Toronto,56,12,18,11,3,4,3,13,6,12,1610612738,BOS,Boston,54,11,15,16,1,15,4,18
175,21800670,0,1610612747,LAL,Los Angeles,56,18,12,10,19,15,1,24,9,31,1610612760,OKC,Oklahoma City,24,31,16,17,0,15,10,15
176,21800671,0,1610612763,MEM,Memphis,48,15,13,6,12,8,0,9,2,12,1610612738,BOS,Boston,34,9,12,16,0,17,7,20
177,21800674,0,1610612759,SAS,San Antonio,46,19,4,7,27,17,0,16,6,22,1610612750,MIN,Minnesota,42,15,6,10,1,12,9,18
178,21800687,0,1610612743,DEN,Denver,58,18,10,30,4,5,1,12,5,9,1610612739,CLE,Cleveland,48,7,12,4,2,14,6,22
179,21800683,0,1610612738,BOS,Boston,42,17,24,10,4,0,0,15,7,14,1610612737,ATL,Atlanta,52,11,9,16,0,20,5,16
180,21800691,0,1610612760,OKC,Oklahoma City,48,6,13,24,0,0,1,19,4,17,1610612752,NYK,New York,52,15,9,0,0,12,10,12
181,21800698,0,1610612748,MIA,Miami,44,16,17,2,5,4,1,20,12,28,1610612738,BOS,Boston,42,14,17,22,0,19,11,23
182,21800703,0,1610612760,OKC,Oklahoma City,44,12,28,12,4,5,1,11,8,23,1610612757,POR,Portland,52,19,6,2,1,20,8,29
183,21800705,0,1610612750,MIN,Minnesota,40,19,9,30,0,5,1,15,10,10,1610612756,PHX,Phoenix,50,7,17,0,1,14,14,17
184,21800715,0,1610612762,UTA,Utah,32,22,12,15,2,2,0,13,11,18,1610612743,DEN,Denver,54,18,12,1,2,16,7,21
185,21800707,0,1610612738,BOS,Boston,62,12,25,21,15,5,0,14,2,20,1610612739,CLE,Cleveland,48,23,6,5,1,21,9,27
186,21800717,0,1610612760,OKC,Oklahoma City,66,18,21,22,12,4,0,14,7,17,1610612740,NOP,New Orleans,72,15,16,4,0,12,9,20
187,21800719,0,1610612750,MIN,Minnesota,54,34,15,17,10,11,2,14,8,16,1610612747,LAL,Los Angeles,68,13,11,7,1,20,7,32
188,21800729,0,1610612762,UTA,Utah,38,12,8,23,1,2,0,11,13,13,1610612750,MIN,Minnesota,48,19,12,6,1,15,8,12
189,21800728,0,1610612756,PHX,Phoenix,46,2,14,0,0,2,1,16,4,13,1610612743,DEN,Denver,60,26,16,38,0,12,3,5
190,21800721,0,1610612752,NYK,New York,48,5,15,11,10,8,0,8,13,4,1610612751,BKN,Brooklyn,46,23,17,17,1,20,18,24
191,21800733,0,1610612743,DEN,Denver,74,12,13,18,0,3,1,11,14,10,1610612755,PHI,Philadelphia,40,10,12,0,0,12,7,14
192,21800741,0,1610612748,MIA,Miami,48,11,7,13,13,6,1,16,9,19,1610612752,NYK,New York,46,12,13,9,0,11,7,17
193,21800738,0,1610612760,OKC,Oklahoma City,44,13,15,19,5,2,1,12,13,11,1610612749,MIL,Milwaukee,44,12,8,8,0,14,8,20
194,21800740,0,1610612750,MIN,Minnesota,24,11,7,1,10,4,0,16,5,19,1610612762,UTA,Utah,50,14,8,14,0,9,14,14
195,21800746,0,1610612751,BKN,Brooklyn,44,29,23,3,6,5,0,17,14,27,1610612738,BOS,Boston,56,22,22,15,1,18,9,25
196,21800744,0,1610612752,NYK,New York,42,9,18,8,10,5,2,10,11,6,1610612766,CHA,Charlotte,50,24,6,14,0,10,11,11
197,21800751,0,1610612760,OKC,Oklahoma City,58,5,18,15,11,8,0,7,9,13,1610612753,ORL,Orlando,52,18,14,10,0,12,5,13
198,21800761,0,1610612740,NOP,New Orleans,42,12,11,4,4,7,1,15,9,26,1610612743,DEN,Denver,62,7,18,11,1,10,9,14
199,21800758,0,1610612742,DAL,Dallas,50,13,9,29,10,3,1,19,6,20,1610612752,NYK,New York,38,11,11,1,0,12,6,4
200,21800756,0,1610612766,CHA,Charlotte,42,13,4,2,8,7,0,12,7,22,1610612738,BOS,Boston,64,27,19,35,2,12,5,19
201,21800774,0,1610612745,HOU,Houston,54,19,8,10,8,4,0,10,6,22,1610612743,DEN,Denver,62,10,24,20,0,8,7,9
202,21800771,0,1610612738,BOS,Boston,54,17,12,21,7,3,0,7,7,5,1610612752,NYK,New York,50,10,10,9,1,18,5,28
203,21800783,0,1610612750,MIN,Minnesota,42,13,6,9,9,11,2,10,11,9,1610612743,DEN,Denver,48,19,10,6,0,10,3,17
204,21800787,0,1610612752,NYK,New York,32,2,6,8,5,4,0,15,8,18,1610612763,MEM,Memphis,44,15,0,16,1,8,9,9
205,21800790,0,1610612765,DET,Detroit,54,28,9,29,6,5,0,20,4,26,1610612743,DEN,Denver,50,14,12,7,1,14,15,16
206,21800799,0,1610612752,NYK,New York,44,16,11,0,0,1,0,11,11,7,1610612765,DET,Detroit,42,9,0,14,2,11,9,7
207,21800801,0,1610612750,MIN,Minnesota,48,26,8,0,0,1,2,17,6,25,1610612763,MEM,Memphis,38,16,11,19,0,8,7,10
208,21800802,0,1610612760,OKC,Oklahoma City,58,10,10,14,12,10,0,17,15,23,1610612753,ORL,Orlando,38,8,8,12,0,18,7,20
