Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,id,Player_Temporada,Salario
202,Derrick Rose,30,MIN,PG,51,13,1392,19.5,0.557,0.194,0.212,2.5,8.3,5.4,26.4,1.1,0.7,9.1,27.3,2.6,0.3,3.0,0.102,3.2,-1.7,1.4,1.2,6MOY-6,rosede01,2018,201565,Derrick Rose - 2018,2176260.0
208,Mitchell Robinson,20,NYK,C,66,19,1360,22.0,0.692,0.0,0.464,13.3,19.4,16.3,4.2,1.8,10.0,9.1,12.1,4.0,2.2,6.1,0.217,0.1,2.4,2.5,1.6,ROY-8,robinmi01,2018,1629011,Mitchell Robinson - 2018,1485440.0
209,Juancho Hernangómez,23,DEN,PF,70,25,1358,11.0,0.58,0.576,0.274,5.1,16.1,10.6,5.3,1.0,1.6,9.5,12.2,1.6,1.4,3.0,0.105,-0.9,-0.2,-1.1,0.3,0,hernaju01,2018,1627823,Juancho Hernangómez - 2018,
224,Markieff Morris,29,2TM,PF,58,16,1270,11.7,0.521,0.419,0.19,5.0,17.5,11.1,8.8,1.3,1.5,9.3,19.1,0.6,1.1,1.6,0.061,-2.1,-0.6,-2.7,-0.2,0,morrima02,2018,202693,Markieff Morris - 2018,9173294.0
224,Markieff Morris,29,WAS,PF,34,15,883,12.3,0.543,0.439,0.223,5.0,16.6,10.7,9.6,1.3,1.9,11.5,19.5,0.4,0.5,0.9,0.051,-1.8,-0.9,-2.7,-0.2,0,morrima02,2018,202693,Markieff Morris - 2018,9173294.0
224,Markieff Morris,29,OKC,PF,24,1,387,10.4,0.475,0.378,0.122,5.2,19.6,12.1,6.8,1.3,0.4,4.1,18.0,0.2,0.5,0.7,0.083,-2.8,0.1,-2.8,-0.1,0,morrima02,2018,202693,Markieff Morris - 2018,9173294.0
225,Jeff Teague,30,MIN,PG,42,41,1264,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0.8,-1.2,-0.4,0.5,0,teaguje01,2018,201952,Jeff Teague - 2018,19000000.0
241,Mario Hezonja,23,NYK,SF,58,24,1206,10.8,0.497,0.328,0.246,2.4,18.7,10.4,11.5,2.3,0.6,14.6,21.3,-1.1,1.1,-0.1,-0.003,-3.5,-0.3,-3.8,-0.5,0,hezonma01,2018,1626209,Mario Hezonja - 2018,6500000.0
242,Robert Covington,28,2TM,SF,35,35,1203,13.3,0.58,0.622,0.246,2.5,14.6,8.5,5.2,2.9,3.2,10.5,15.6,0.9,1.6,2.5,0.1,-0.5,2.1,1.6,1.1,0,covinro01,2018,203496,Robert Covington - 2018,10464092.0
242,Robert Covington,28,PHI,SF,13,13,440,11.0,0.578,0.658,0.197,1.7,14.0,8.1,4.3,2.6,4.1,14.8,14.2,0.0,0.7,0.7,0.077,-1.7,2.2,0.5,0.3,0,covinro01,2018,203496,Robert Covington - 2018,10464092.0
