Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
235.0,Mason Plumlee,29.0,DEN,C,61.0,1.0,1057.0,18.8,0.613,0.017,0.538,10.4,23.2,16.8,20.9,1.5,3.3,18.7,18.0,2.0,1.4,3.4,0.153,0.3,1.7,2.0,1.1,,plumlma01,2019,Mason Plumlee,203486.0
237.0,Grant Williams,21.0,BOS,PF,69.0,5.0,1043.0,7.9,0.505,0.455,0.256,6.1,12.1,9.1,8.5,1.4,3.2,17.6,11.6,0.1,1.4,1.6,0.071,-4.1,1.4,-2.7,-0.2,,willigr01,2019,Grant Williams,1629684.0
241.0,Taj Gibson,34.0,NYK,C,62.0,56.0,1025.0,16.1,0.61,0.049,0.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,1.8,0.8,2.6,0.12,-0.8,-0.3,-1.1,0.2,,gibsota01,2019,Taj Gibson,201959.0
246.0,Semi Ojeleye,25.0,BOS,PF,69.0,6.0,1011.0,7.7,0.562,0.648,0.163,2.8,12.5,7.7,4.7,1.0,0.5,8.3,9.7,0.8,1.0,1.9,0.088,-2.1,0.4,-1.7,0.1,,ojelese01,2019,Semi Ojeleye,1628400.0
250.0,Enes Freedom,27.0,BOS,C,58.0,7.0,983.0,22.4,0.599,0.02,0.284,18.0,28.9,23.5,8.8,1.1,3.9,12.5,19.4,2.6,1.8,4.4,0.214,1.8,-0.3,1.5,0.9,,kanteen01,2019,Enes Freedom,202683.0
261.0,Treveon Graham,26.0,2TM,SF,55.0,20.0,929.0,6.6,0.456,0.496,0.231,5.7,11.7,8.6,6.6,1.2,0.5,9.8,13.1,-0.2,0.4,0.2,0.009,-4.5,-1.1,-5.6,-0.8,,grahatr01,2019,Treveon Graham,1626203.0
261.0,Treveon Graham,26.0,MIN,SF,33.0,20.0,663.0,6.0,0.447,0.474,0.211,4.5,11.7,8.0,6.1,1.2,0.3,9.0,13.1,-0.3,0.3,0.1,0.004,-5.0,-0.8,-5.8,-0.6,,grahatr01,2019,Treveon Graham,1626203.0
261.0,Treveon Graham,26.0,ATL,SF,22.0,0.0,266.0,8.0,0.478,0.552,0.284,8.8,11.5,10.1,7.6,1.2,1.3,11.7,13.3,0.0,0.1,0.1,0.022,-3.3,-1.7,-5.0,-0.2,,grahatr01,2019,Treveon Graham,1626203.0
269.0,Michael Porter Jr.,21.0,DEN,SF,55.0,8.0,903.0,19.8,0.617,0.384,0.188,8.2,23.9,16.1,7.9,1.5,2.6,10.6,22.3,1.8,1.1,2.9,0.154,2.4,-0.8,1.5,0.8,,portemi01,2019,Michael Porter Jr.,1629008.0
271.0,Hamidou Diallo,21.0,OKC,SF,46.0,3.0,896.0,9.3,0.491,0.193,0.213,5.6,14.7,10.3,5.9,2.0,0.9,13.6,18.4,-0.7,1.1,0.4,0.022,-4.2,0.3,-3.9,-0.4,,diallha01,2019,Hamidou Diallo,1628977.0
