"Temporada","Jugador","Salario","Salario Actual Ajustado a la Inflación"
"2018/19 ","Cameron Payne","3,440,356","4,289,368"
"2018/19 ","Allonzo Trier","3,382,000","4,216,612"
"2018/19 ","Brook Lopez","3,382,000","4,216,612"
"2018/19 ","Shai Gilgeous-Alexander","3,375,360","4,208,333"
"2018/19 ","Trey Lyles","3,364,249","4,194,480"
"2018/19 ","Ekpe Udoh","3,360,000","4,189,182"
"2018/19 ","Devin Booker","3,314,365","4,132,286"
"2018/19 ","Myles Turner","3,294,994","4,108,134"
"2018/19 ","Luke Kennard","3,275,280","4,083,555"
"2018/19 ","Troy Daniels","3,258,539","4,062,683"
"2018/19 ","Kelly Oubre","3,208,630","4,000,457"
"2018/19 ","Miles Bridges","3,206,640","3,997,976"
"2018/19 ","Marquese Chriss","3,206,160","3,997,378"
"2018/19 ","Tomas Satoransky","3,129,187","3,901,409"
"2018/19 ","Bryn Forbes","3,125,000","3,896,189"
"2018/19 ","Donovan Mitchell","3,111,480","3,879,332"
"2018/19 ","Terry Rozier","3,050,389","3,803,165"
"2018/19 ","Jerome Robinson","3,050,160","3,802,880"
"2018/19 ","Yogi Ferrell","3,000,000","3,740,341"
"2018/19 ","Elfrid Payton","3,000,000","3,740,341"
"2018/19 ","Bam Adebayo","2,955,840","3,685,284"
"2018/19 ","Jakob Poeltl","2,947,320","3,674,661"
"2018/19 ","Michael Porter","2,894,160","3,608,382"
"2018/19 ","Andrew Nicholson","2,844,429","3,546,378"
"2018/19 ","Justin Jackson","2,807,880","3,500,810"
"2018/19 ","Thon Maker","2,799,720","3,490,636"
"2018/19 ","Seth Curry","2,795,000","3,484,751"
"2018/19 ","Cedi Osman","2,775,000","3,459,816"
"2018/19 ","Sam Dekker","2,760,094","3,441,231"
"2018/19 ","Troy Brown","2,752,680","3,431,988"
"2018/19 ","Justin Patton","2,667,600","3,325,911"
"2018/19 ","Guerschon Yabusele","2,667,600","3,325,911"
"2018/19 ","Domantas Sabonis","2,659,800","3,316,187"
"2018/19 ","Jerian Grant","2,639,313","3,290,644"
"2018/19 ","Zhaire Smith","2,615,160","3,260,530"
"2018/19 ","Corey Brewer","2,559,925","3,191,663"
"2018/19 ","Delon Wright","2,536,898","3,162,955"
"2018/19 ","DJ Wilson","2,534,280","3,159,691"
