game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
22100905,0,1610612765,DET,Detroit,48,14,4,6,21,17,0,14,12,21,1610612738,BOS,Boston,56,12,6,12,0,10,9,11
22100918,0,1610612757,POR,Portland,54,12,18,4,2,2,0,15,7,21,1610612743,DEN,Denver,62,14,26,35,1,15,10,15
22100914,0,1610612754,IND,Indiana,52,14,20,22,13,4,0,14,7,8,1610612738,BOS,Boston,44,6,10,5,0,10,5,14
22100912,0,1610612755,PHI,Philadelphia,50,8,18,16,11,10,0,10,3,11,1610612752,NYK,New York,48,20,11,3,0,18,12,22
22100920,0,1610612739,CLE,Cleveland,38,18,7,14,1,3,2,22,9,35,1610612750,MIN,Minnesota,50,10,19,23,0,13,5,21
22100925,0,1610612760,OKC,Oklahoma City,56,15,21,9,9,6,1,17,10,31,1610612758,SAC,Sacramento,68,10,14,21,1,17,5,13
22100927,0,1610612737,ATL,Atlanta,38,3,17,17,6,7,1,10,9,12,1610612738,BOS,Boston,46,20,6,14,2,14,4,15
22100930,0,1610612744,GSW,Golden State,42,11,27,6,6,4,0,17,4,13,1610612750,MIN,Minnesota,54,13,11,21,0,16,12,19
22100934,0,1610612755,PHI,Philadelphia,36,9,18,16,1,6,0,14,8,25,1610612752,NYK,New York,50,9,12,16,3,10,12,18
22100938,0,1610612760,OKC,Oklahoma City,46,10,18,15,10,8,1,15,4,20,1610612743,DEN,Denver,54,11,8,11,0,16,0,25
22100940,0,1610612738,BOS,Boston,44,24,6,17,2,2,0,14,4,18,1610612763,MEM,Memphis,52,22,15,1,0,7,7,10
22100951,0,1610612760,OKC,Oklahoma City,46,9,11,5,4,7,0,23,9,27,1610612750,MIN,Minnesota,52,9,21,37,1,18,10,17
22100952,0,1610612745,HOU,Houston,50,19,10,1,4,2,1,15,11,20,1610612743,DEN,Denver,40,14,11,20,0,10,9,12
22100958,0,1610612757,POR,Portland,44,17,10,7,16,14,1,16,6,20,1610612750,MIN,Minnesota,60,13,26,15,0,11,3,12
22100960,0,1610612738,BOS,Boston,40,13,21,8,28,19,0,10,10,13,1610612751,BKN,Brooklyn,42,21,7,9,1,16,6,18
22100965,0,1610612760,OKC,Oklahoma City,54,14,23,3,3,2,1,8,7,6,1610612762,UTA,Utah,28,14,9,23,0,11,6,11
22100528,0,1610612744,GSW,Golden State,52,5,20,7,4,6,0,14,5,24,1610612743,DEN,Denver,66,10,22,14,0,9,12,8
22100971,0,1610612750,MIN,Minnesota,48,22,29,46,4,0,2,22,13,20,1610612757,POR,Portland,28,10,8,1,1,18,11,30
22100974,0,1610612752,NYK,New York,54,6,24,23,1,0,1,9,5,12,1610612758,SAC,Sacramento,50,8,15,20,1,12,8,14
