Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
269.0,Cam Reddish,22.0,NYK,SF,15.0,0.0,215.0,12.9,0.575,0.477,0.492,2.5,8.2,5.3,7.1,2.8,1.8,14.1,18.8,0.1,0.3,0.4,0.092,-2.0,1.2,-0.8,0.1,,reddica01,2021,Cam Reddish,1629629.0
272.0,Payton Pritchard,24.0,BOS,PG,71.0,2.0,1001.0,15.0,0.578,0.657,0.056,3.5,10.8,7.2,20.4,1.2,0.5,9.7,18.6,1.8,1.2,3.1,0.148,1.7,0.1,1.8,1.0,,pritcpa01,2021,Payton Pritchard,1630202.0
278.0,Daniel Theis,29.0,BOS,C,21.0,6.0,393.0,17.0,0.658,0.25,0.286,7.6,19.1,13.5,8.0,1.1,3.3,10.6,15.8,0.9,0.7,1.6,0.19,-1.0,0.9,-0.1,0.2,,theisda01,2021,Daniel Theis,1628464.0
279.0,Jaylen Nowell,22.0,MIN,SG,62.0,1.0,975.0,16.8,0.581,0.387,0.223,2.4,11.4,6.8,20.2,1.3,1.0,7.4,21.0,2.1,0.7,2.8,0.138,1.5,-0.7,0.8,0.7,,nowelja01,2021,Jaylen Nowell,1629669.0
288.0,Isaiah Roby,23.0,OKC,PF,45.0,28.0,948.0,18.3,0.607,0.307,0.359,8.0,15.6,11.8,12.1,1.8,3.3,10.3,19.0,1.8,1.1,2.9,0.147,0.4,0.2,0.6,0.6,,robyis01,2021,Isaiah Roby,1629676.0
289.0,Kemba Walker,31.0,NYK,PG,37.0,37.0,948.0,13.9,0.537,0.538,0.192,1.6,11.2,6.3,22.2,1.4,0.7,10.7,20.8,1.0,0.9,1.8,0.093,0.7,-0.2,0.4,0.6,,walkeke02,2021,Kemba Walker,202689.0
290.0,Taj Gibson,36.0,NYK,C,52.0,4.0,946.0,12.0,0.606,0.229,0.313,9.8,16.3,13.0,4.9,1.2,4.2,12.5,10.0,1.4,1.2,2.7,0.135,-3.0,1.0,-2.0,0.0,,gibsota01,2021,Taj Gibson,201959.0
295.0,Théo Maledon,20.0,OKC,PG,51.0,7.0,908.0,10.6,0.5,0.473,0.315,2.2,12.8,7.4,18.5,1.7,1.1,15.3,20.3,-0.5,0.8,0.3,0.015,-3.7,-0.7,-4.4,-0.6,,maledth01,2021,,
298.0,Jordan McLaughlin,25.0,MIN,PG,62.0,3.0,902.0,13.4,0.535,0.425,0.2,2.6,8.8,5.6,26.1,3.0,1.1,14.9,11.8,1.3,1.0,2.3,0.123,-1.2,1.6,0.4,0.6,,mclaujo01,2021,Jordan McLaughlin,1629162.0
317.0,Ty Jerome,24.0,OKC,SG,48.0,4.0,801.0,11.3,0.488,0.567,0.143,2.4,7.7,5.0,21.3,1.8,0.6,9.6,20.8,0.0,0.5,0.5,0.032,-2.2,-0.2,-2.3,-0.1,,jeromty01,2021,Ty Jerome,1629660.0
