Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
165.0,Gary Harris,24.0,DEN,SG,57.0,48.0,1639.0,12.2,0.526,0.38,0.226,2.7,7.9,5.3,11.0,1.6,1.0,8.9,20.0,1.1,1.5,2.6,0.076,-1.2,-0.4,-1.6,0.2,,harriga01,2018,Gary Harris,203914.0
169.0,Emmanuel Mudiay,22.0,NYK,PG,59.0,42.0,1607.0,14.6,0.531,0.284,0.251,2.1,10.9,6.4,24.2,1.3,1.0,14.6,25.6,0.1,0.7,0.8,0.023,-0.2,-1.8,-2.0,0.0,,mudiaem01,2018,Emmanuel Mudiay,1626144.0
175.0,Tyus Jones,22.0,MIN,PG,68.0,23.0,1560.0,13.7,0.491,0.283,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9.0,14.1,2.1,0.9,3.0,0.091,-0.9,0.3,-0.6,0.6,,jonesty01,2018,Tyus Jones,1626145.0
181.0,Dennis Smith Jr.,21.0,2TM,PG,53.0,50.0,1508.0,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0.0,0.001,-1.6,-0.4,-1.9,0.0,,smithde03,2018,Dennis Smith Jr.,1628372.0
181.0,Dennis Smith Jr.,21.0,DAL,PG,32.0,32.0,908.0,11.5,0.527,0.35,0.23,2.1,9.3,5.7,24.1,2.1,1.0,20.3,23.3,-0.7,0.9,0.2,0.01,-2.1,0.0,-2.1,0.0,,smithde03,2018,Dennis Smith Jr.,1628372.0
181.0,Dennis Smith Jr.,21.0,NYK,PG,21.0,18.0,600.0,13.5,0.473,0.283,0.253,2.4,7.9,5.1,32.2,2.2,1.3,14.2,27.0,-0.5,0.3,-0.2,-0.014,-0.8,-0.9,-1.7,0.0,,smithde03,2018,Dennis Smith Jr.,1628372.0
182.0,Torrey Craig,28.0,DEN,SF,75.0,37.0,1503.0,10.4,0.547,0.519,0.193,6.4,12.6,9.5,6.3,1.2,2.7,10.1,12.4,1.4,1.7,3.0,0.096,-2.0,0.2,-1.9,0.0,,craigto01,2018,Torrey Craig,1628470.0
190.0,Allonzo Trier,23.0,NYK,SG,64.0,3.0,1459.0,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4,,trieral01,2018,Allonzo Trier,1629019.0
202.0,Derrick Rose,30.0,MIN,PG,51.0,13.0,1392.0,19.5,0.557,0.194,0.212,2.5,8.3,5.4,26.4,1.1,0.7,9.1,27.3,2.6,0.3,3.0,0.102,3.2,-1.7,1.4,1.2,6MOY-6,rosede01,2018,Derrick Rose,201565.0
208.0,Mitchell Robinson,20.0,NYK,C,66.0,19.0,1360.0,22.0,0.692,0.0,0.464,13.3,19.4,16.3,4.2,1.8,10.0,9.1,12.1,4.0,2.2,6.1,0.217,0.1,2.4,2.5,1.6,ROY-8,robinmi01,2018,Mitchell Robinson,1629011.0
209.0,Juancho Hernangómez,23.0,DEN,PF,70.0,25.0,1358.0,11.0,0.58,0.576,0.274,5.1,16.1,10.6,5.3,1.0,1.6,9.5,12.2,1.6,1.4,3.0,0.105,-0.9,-0.2,-1.1,0.3,,hernaju01,2018,,
224.0,Markieff Morris,29.0,2TM,PF,58.0,16.0,1270.0,11.7,0.521,0.419,0.19,5.0,17.5,11.1,8.8,1.3,1.5,9.3,19.1,0.6,1.1,1.6,0.061,-2.1,-0.6,-2.7,-0.2,,morrima02,2018,Markieff Morris,202693.0
224.0,Markieff Morris,29.0,WAS,PF,34.0,15.0,883.0,12.3,0.543,0.439,0.223,5.0,16.6,10.7,9.6,1.3,1.9,11.5,19.5,0.4,0.5,0.9,0.051,-1.8,-0.9,-2.7,-0.2,,morrima02,2018,Markieff Morris,202693.0
224.0,Markieff Morris,29.0,OKC,PF,24.0,1.0,387.0,10.4,0.475,0.378,0.122,5.2,19.6,12.1,6.8,1.3,0.4,4.1,18.0,0.2,0.5,0.7,0.083,-2.8,0.1,-2.8,-0.1,,morrima02,2018,Markieff Morris,202693.0
225.0,Jeff Teague,30.0,MIN,PG,42.0,41.0,1264.0,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0.8,-1.2,-0.4,0.5,,teaguje01,2018,Jeff Teague,201952.0
